subscription_id,user_id,subscription_date,subscription_cancel_date
187,244,2019-02-17,2023-10-23
188,245,2024-01-31,2024-04-13
189,247,2024-01-18,2024-12-23
190,248,2024-04-21,2024-11-21
191,249,2013-08-27,2021-12-21
192,250,2012-12-06,
193,252,2023-05-04,2024-10-25
194,255,2018-11-08,
195,257,2024-09-16,
196,258,2024-08-26,2024-11-15
197,259,2024-01-29,
198,260,2018-02-28,
199,261,2022-11-24,2024-04-01
200,262,2022-07-03,2022-10-02
201,263,2023-01-23,2024-02-21
202,265,2024-05-29,2024-08-10
203,266,2024-12-14,
204,268,2023-07-21,
205,269,2013-09-03,
206,271,2021-08-22,
207,272,2019-12-18,2024-01-11
208,272,2024-06-28,2024-10-05
209,272,2024-10-30,2024-11-23
210,273,2024-02-13,
211,274,2014-11-29,
212,276,2022-10-11,
213,277,2023-04-25,
214,278,2014-02-15,
215,279,2024-12-02,2024-12-12
216,280,2020-08-20,2021-09-30
217,281,2020-11-24,
218,282,2022-03-21,
219,283,2023-03-20,
220,284,2018-11-29,
221,285,2022-06-16,2022-07-10
222,286,2023-11-27,2024-06-03
223,289,2013-05-02,2016-01-09
224,291,2014-01-23,
225,293,2024-05-26,
226,294,2015-05-10,
227,295,2024-05-21,
228,296,2018-11-16,2021-04-08
229,296,2024-10-15,2024-10-18
230,297,2023-06-27,
231,298,2021-03-29,
232,299,2020-10-13,2020-12-01
233,300,2019-09-26,
234,302,2023-04-01,2024-01-15
235,302,2024-06-19,
236,303,2022-02-10,
237,304,2015-01-01,
238,309,2014-06-15,2015-08-15
239,311,2019-11-10,2024-11-03
240,311,2024-11-14,
241,312,2022-12-17,
242,314,2023-06-18,
243,317,2024-03-05,
244,319,2018-10-24,2022-05-15
245,320,2021-04-30,2022-06-20
246,320,2023-12-19,2024-12-22
247,321,2018-06-18,2023-10-30
248,322,2014-01-26,
249,325,2021-06-22,2023-04-18
250,326,2017-08-18,
251,327,2024-09-29,2024-11-11
252,328,2024-09-18,
253,329,2023-11-10,
254,331,2021-04-18,
255,332,2022-10-30,
256,335,2024-04-01,
257,338,2016-01-17,
258,340,2021-01-16,
259,341,2018-01-18,2022-07-11
260,341,2023-01-16,2024-01-16
261,341,2024-10-03,2024-12-09
262,342,2024-10-14,2024-10-22
263,343,2020-11-01,2021-02-20
264,344,2017-11-07,
265,345,2023-07-26,
266,347,2019-12-30,
267,348,2017-07-13,
268,349,2014-01-27,2022-04-03
269,350,2022-03-15,2024-12-15
270,352,2024-05-25,2024-07-07
271,353,2022-08-03,2024-03-12
272,354,2022-08-24,2023-10-03
273,355,2019-04-05,
274,356,2024-02-16,2024-05-31
275,358,2022-11-22,
276,359,2024-07-05,2024-12-15
277,359,2024-12-31,2024-12-31
278,360,2016-09-10,
279,361,2018-10-28,
280,362,2022-03-17,
281,364,2024-11-29,
282,365,2019-02-01,2020-08-25
283,368,2022-07-03,2023-08-28
284,368,2024-01-30,
285,369,2022-07-27,2024-08-24
286,370,2019-08-03,
287,372,2021-07-01,2022-05-09
288,373,2019-08-26,
289,374,2020-01-06,
290,375,2022-11-17,
291,376,2019-09-24,
292,377,2020-06-02,2024-12-28
293,377,2024-12-29,
294,379,2024-09-10,
295,380,2024-05-21,2024-12-10
296,382,2017-06-12,2019-02-08
297,383,2023-03-19,2023-12-07
298,384,2021-08-09,2022-09-15
299,385,2024-04-29,
300,386,2022-05-20,
301,388,2024-02-17,2024-12-17
302,388,2024-12-28,2024-12-28
303,391,2022-06-12,
304,392,2011-03-15,2019-04-17
305,393,2022-10-15,2023-08-14
306,394,2015-02-06,2020-03-17
307,396,2021-11-14,
308,397,2018-07-03,
309,398,2019-03-28,
310,400,2024-08-11,2024-10-23
311,402,2019-09-15,
312,403,2024-07-13,2024-07-22
313,403,2024-07-27,
314,404,2017-03-01,
315,406,2015-10-08,
316,409,2020-11-21,
317,410,2023-09-02,
318,411,2016-06-23,
319,412,2022-09-23,
320,413,2024-09-21,
321,414,2018-08-21,
322,415,2024-11-18,
323,417,2021-11-01,2023-07-14
324,417,2024-10-27,
325,418,2021-11-27,
326,419,2021-01-15,2024-05-06
327,419,2024-12-17,2024-12-24
328,420,2023-08-13,2024-02-29
329,421,2021-12-23,
330,422,2024-06-25,
331,423,2022-11-06,2024-09-06
332,425,2023-02-09,2024-07-15
333,426,2019-11-10,2024-05-17
334,426,2024-09-16,2024-12-18
335,427,2024-06-04,
336,428,2020-12-16,2023-02-09
337,429,2024-08-07,2024-12-03
338,429,2024-12-21,2024-12-25
339,430,2019-02-26,
340,432,2021-04-03,2022-04-02
341,433,2023-08-16,2024-01-26
342,433,2024-12-10,
343,435,2022-08-11,
344,436,2022-11-11,
345,437,2015-11-01,2017-05-04
346,438,2022-02-05,2023-02-06
347,438,2024-11-26,2024-12-15
348,439,2017-06-23,2019-09-16
349,440,2019-11-17,2024-03-18
350,440,2024-12-04,2024-12-18
351,442,2022-06-22,2024-09-21
352,444,2018-11-10,
353,446,2023-01-19,
354,448,2019-01-26,
355,449,2019-12-29,
356,450,2021-05-17,2023-01-22
357,450,2024-12-18,
358,451,2024-02-28,2024-08-28
359,453,2023-02-05,2024-05-01
360,453,2024-08-23,2024-11-26
361,454,2023-05-06,2023-11-17
362,455,2016-06-19,
363,456,2019-08-31,
364,457,2020-11-12,
365,459,2024-03-30,
366,460,2019-06-28,2021-05-09
367,460,2021-06-20,
368,462,2019-01-21,
369,463,2018-06-12,
370,464,2023-08-17,2024-04-12
371,465,2024-03-04,
372,466,2023-07-12,
373,468,2014-12-01,2021-12-19
374,469,2020-01-30,
375,470,2021-12-16,2024-03-19
376,471,2018-03-14,2024-05-19
377,472,2023-01-15,
378,473,2020-10-02,2022-09-08
379,474,2019-11-26,2022-02-02
380,475,2022-08-23,
381,477,2023-09-18,2023-09-24
382,478,2024-06-08,
383,479,2017-12-18,2020-05-04
384,479,2020-05-28,2022-01-05
385,482,2018-09-28,2020-10-21
386,483,2019-01-17,
387,484,2022-01-16,
388,485,2023-11-07,2024-08-23
389,489,2013-04-27,
390,490,2021-02-04,2024-05-26
391,490,2024-07-26,2024-09-13
392,491,2022-01-12,2022-10-05
393,493,2018-03-18,
394,495,2023-01-13,2023-09-03
395,495,2024-06-16,2024-11-29
396,496,2019-07-16,
397,498,2024-04-14,
398,499,2022-03-09,
399,500,2019-09-09,2024-08-10
400,500,2024-10-06,
401,501,2022-01-27,
402,503,2022-10-20,2024-02-21
403,504,2019-10-21,2022-11-13
404,505,2019-08-20,2020-01-21
405,505,2024-12-24,
406,508,2020-08-20,
407,512,2024-06-27,2024-11-26
408,516,2023-09-17,
409,519,2018-11-22,
410,520,2022-07-09,
411,521,2019-01-16,
412,523,2017-06-27,2021-09-07
413,523,2023-10-03,
414,525,2024-01-28,2024-04-01
415,525,2024-10-07,2024-12-31
416,525,2024-12-31,
417,527,2022-09-19,2024-05-23
418,528,2024-04-10,2024-09-12
419,529,2024-09-06,
420,530,2014-02-13,
421,531,2022-01-06,
422,533,2020-03-23,2023-06-22
423,534,2014-08-07,
424,535,2022-03-07,2023-03-10
425,536,2024-03-14,2024-10-18
426,537,2019-07-15,
427,538,2020-02-25,
428,539,2022-05-19,
429,540,2024-10-15,
430,541,2015-07-17,2020-03-02
431,541,2022-08-03,2024-02-28
432,542,2022-08-20,
433,544,2018-02-16,
434,545,2023-01-01,
435,546,2018-10-20,
436,549,2023-09-14,2023-12-07
437,552,2023-09-27,
438,555,2021-03-25,
439,558,2021-03-10,
440,559,2017-08-08,
441,560,2019-10-27,
442,561,2019-06-20,2024-07-21
443,563,2020-04-09,
444,564,2018-12-01,2024-10-13
445,565,2022-01-18,
446,568,2017-08-13,2022-05-18
447,569,2024-12-22,2024-12-23
448,571,2023-09-16,2024-05-14
449,573,2021-07-29,
450,575,2024-05-15,2024-07-04
451,580,2020-06-29,2022-05-06
452,580,2022-05-31,
453,581,2019-09-04,2020-12-09
454,582,2016-07-20,2021-07-16
455,582,2023-12-30,
456,583,2024-04-20,2024-11-09
457,584,2022-12-25,
458,585,2016-07-28,
459,586,2022-02-15,2024-05-14
460,586,2024-09-19,2024-09-23
461,587,2022-06-02,2023-10-14
462,588,2021-09-16,2021-09-18
463,589,2017-07-23,2021-05-06
464,590,2022-11-30,2023-09-07
465,593,2021-04-23,2021-11-12
466,594,2024-02-05,
467,595,2020-05-11,
468,597,2021-12-12,
469,600,2023-12-05,2024-09-15
470,601,2023-05-10,2024-09-24
471,602,2024-05-31,
472,604,2023-08-22,
473,605,2011-05-06,
474,606,2019-10-17,
475,607,2023-12-30,2024-10-17
476,609,2020-05-02,
477,610,2018-05-18,
478,611,2019-05-27,2024-01-11
479,614,2022-09-22,
480,615,2020-11-27,
481,617,2021-09-19,2023-09-09
482,618,2020-11-30,
483,619,2021-01-29,
484,620,2023-07-28,
485,621,2022-05-11,
486,622,2024-08-09,
487,623,2016-04-11,2019-06-01
488,625,2021-01-04,2024-03-19
489,626,2022-11-10,2023-07-08
490,626,2023-07-28,2024-05-27
491,627,2023-02-07,
492,628,2019-04-03,
493,629,2024-11-02,
494,630,2022-10-04,2024-12-22
495,631,2019-10-22,
496,632,2014-12-10,
497,633,2010-12-03,
498,634,2021-12-25,
499,635,2017-01-30,2023-03-02
500,635,2024-09-11,2024-11-30
501,636,2017-11-29,2018-01-31
502,638,2021-08-31,
503,640,2021-11-26,2023-04-19
504,642,2020-05-13,
505,643,2021-10-12,2021-12-23
506,643,2022-08-06,2024-12-19
507,644,2024-11-28,2024-12-18
508,645,2013-08-02,
509,646,2023-12-28,2024-09-08
510,647,2020-12-24,
511,648,2022-11-20,
512,649,2022-11-02,
513,650,2018-10-04,2022-07-04
514,652,2018-09-06,
515,653,2020-02-15,
516,654,2019-04-07,2023-11-30
517,654,2024-12-17,
518,655,2017-05-03,
519,656,2022-09-08,
520,657,2024-09-19,2024-12-18
521,658,2016-10-10,2021-04-22
522,658,2024-06-29,
523,659,2023-09-16,2024-11-07
524,660,2019-02-07,2020-05-14
525,660,2022-01-20,2023-09-23
526,660,2024-02-01,
527,661,2023-08-04,2024-05-19
528,662,2023-04-19,
529,665,2017-09-08,
530,668,2024-06-18,
531,669,2024-09-08,
532,670,2024-03-20,2024-10-10
533,671,2021-06-29,
534,672,2018-02-01,
535,674,2022-02-25,
536,675,2015-05-27,
537,676,2023-07-17,
538,677,2022-03-15,2022-08-01
539,677,2023-03-02,
540,679,2022-03-05,2022-04-18
541,679,2023-02-10,
542,680,2021-08-08,2022-09-10
543,681,2023-01-30,
544,682,2023-01-17,
545,686,2024-11-11,2024-12-05
546,687,2024-06-01,
547,688,2023-01-03,2023-08-12
548,689,2021-01-21,2024-04-18
549,690,2022-08-18,
550,691,2021-06-10,2023-05-22
551,691,2023-12-25,2024-02-27
552,691,2024-07-07,2024-08-11
553,692,2022-10-20,2024-02-11
554,693,2021-08-07,2023-11-27
555,695,2022-11-20,
556,697,2021-07-06,2023-07-22
557,698,2023-03-25,2023-04-04
558,700,2024-09-04,2024-11-25
559,700,2024-12-21,
560,701,2022-05-09,2024-10-27
561,702,2014-03-21,
562,703,2023-05-11,2023-07-31
563,704,2013-06-11,2021-03-23
564,705,2012-12-08,
565,706,2021-05-01,2023-12-21
566,706,2024-07-29,
567,707,2017-06-15,
568,708,2017-06-27,
569,710,2021-04-27,2024-09-25
570,710,2024-11-11,
571,711,2024-11-22,
572,712,2022-05-19,2023-12-06
573,714,2023-06-11,2024-12-03
574,714,2024-12-25,2024-12-26
575,714,2024-12-31,
576,715,2023-10-21,
577,716,2022-03-22,
578,717,2021-08-25,2024-06-15
579,718,2022-12-05,
580,722,2022-03-28,
581,723,2017-01-07,2023-08-11
582,724,2024-12-26,
583,727,2020-08-09,
584,728,2022-01-16,
585,729,2023-03-10,2024-08-14
586,729,2024-10-23,
587,730,2017-08-31,
588,731,2022-02-12,2022-07-06
589,731,2024-06-29,
590,733,2020-06-05,2024-12-21
591,734,2022-06-09,
592,736,2024-05-28,2024-08-11
593,737,2020-05-10,
594,738,2017-07-21,
595,739,2012-11-05,
596,740,2023-09-01,2024-03-13
597,742,2024-11-01,
598,743,2016-06-11,
599,744,2023-06-26,2024-05-20
600,745,2024-04-23,
601,747,2021-10-03,2024-12-01
602,748,2022-09-15,2023-06-26
603,749,2022-04-30,2023-08-20
604,750,2017-03-20,
605,751,2022-04-17,
606,752,2024-05-18,2024-06-20
607,752,2024-10-03,
608,756,2024-07-30,
609,758,2024-05-15,2024-11-09
610,760,2023-01-17,
611,761,2024-03-11,
612,764,2021-04-06,
613,766,2015-10-19,2022-02-03
614,767,2024-09-13,2024-09-14
615,767,2024-10-18,2024-12-04
616,767,2024-12-04,
617,768,2018-05-17,
618,769,2018-07-22,
619,770,2018-06-16,
620,771,2016-11-04,
621,772,2024-04-29,
622,773,2024-07-23,
623,775,2016-01-20,
624,777,2018-11-15,
625,778,2024-10-02,
626,779,2013-03-31,2014-12-16
627,781,2018-03-01,2024-08-26
628,785,2021-11-13,
629,787,2018-05-05,
630,788,2022-12-25,
631,789,2016-10-09,
632,790,2024-10-20,
633,792,2024-12-16,
634,793,2014-08-27,2021-08-30
635,794,2024-09-27,2024-11-27
636,795,2021-08-14,2023-01-28
637,795,2023-12-02,2024-01-05
638,796,2018-03-11,
639,797,2020-09-07,
640,798,2021-12-27,2024-04-03
641,798,2024-12-17,2024-12-17
642,799,2019-05-12,
643,800,2024-03-31,2024-04-03
644,801,2022-04-28,
645,803,2020-12-04,2022-01-03
646,804,2017-10-08,2019-02-15
647,805,2017-12-20,2021-09-22
648,806,2020-12-02,
649,807,2017-06-07,2022-08-01
650,807,2024-12-13,
651,808,2020-06-04,
652,809,2024-01-05,2024-01-22
653,811,2019-04-07,2020-07-01
654,811,2024-11-21,
655,813,2022-08-11,2023-09-19
656,814,2014-12-17,2020-09-08
657,814,2021-03-18,
658,818,2019-04-30,
659,819,2024-03-07,2024-04-24
660,820,2021-12-28,2024-08-10
661,822,2012-09-05,2019-12-25
662,823,2019-04-08,
663,824,2023-06-30,2024-07-24
664,825,2022-05-29,
665,828,2020-08-07,
666,829,2022-10-18,2023-10-22
667,829,2024-12-13,
668,830,2023-03-12,
669,831,2012-12-29,
670,832,2014-10-29,2016-04-19
671,833,2020-07-03,2022-10-08
672,833,2023-12-31,2024-09-07
673,833,2024-12-29,2024-12-29
674,836,2011-06-16,2017-08-08
675,836,2024-03-12,2024-10-13
676,836,2024-10-26,2024-12-08
677,839,2022-10-09,
678,841,2021-04-23,
679,842,2022-08-10,
680,843,2024-07-19,2024-12-21
681,844,2019-09-02,2020-12-30
682,845,2017-04-05,2022-03-30
683,845,2023-05-01,
684,846,2021-09-12,2024-04-03
685,847,2020-11-19,2022-09-27
686,849,2020-03-28,
687,850,2021-12-21,
688,854,2023-01-13,
689,855,2023-03-20,
690,857,2022-04-28,
691,858,2019-08-23,2023-12-05
692,859,2018-11-25,2024-04-01
693,859,2024-10-04,
694,861,2020-09-28,
695,862,2022-05-05,2022-05-18
696,863,2019-09-02,2022-10-18
697,864,2024-11-13,
698,865,2022-07-25,
699,867,2024-12-21,2024-12-23
700,868,2023-07-03,
701,870,2017-10-29,
702,871,2019-06-05,
703,872,2024-03-28,2024-10-26
704,872,2024-12-11,
705,873,2013-09-14,2018-03-31
706,875,2019-12-29,
707,877,2020-08-15,2023-11-21
708,877,2024-10-20,
709,878,2019-08-07,2022-03-12
710,878,2023-12-24,2024-08-11
711,880,2022-04-30,2022-09-01
712,881,2024-02-14,2024-09-27
713,883,2021-01-03,2021-07-02
714,885,2024-12-04,
715,886,2014-12-23,
716,887,2018-06-24,2021-07-28
717,888,2024-07-03,
718,889,2022-08-25,
719,890,2021-03-11,
720,891,2020-04-02,
721,892,2015-09-25,
722,893,2024-08-04,
723,894,2024-07-09,2024-08-10
724,896,2020-01-17,2024-07-13
725,896,2024-08-13,2024-12-26
726,897,2021-08-07,
727,899,2024-04-18,
728,902,2020-10-12,
729,903,2023-10-18,
730,904,2018-05-13,2019-02-19
731,904,2020-07-20,
732,905,2023-09-23,
733,906,2023-09-23,
734,907,2020-10-27,2023-06-22
735,908,2021-08-22,
736,909,2023-02-15,2024-08-10
737,910,2017-08-17,
738,912,2016-01-09,2017-08-07
739,912,2021-12-04,
740,913,2021-10-22,2022-03-09
741,915,2024-12-18,
742,916,2017-11-17,
743,917,2022-09-28,
744,918,2018-06-28,
745,919,2023-12-30,2024-03-24
746,921,2023-07-26,
747,922,2019-03-28,2019-08-04
748,922,2020-09-18,
749,925,2020-03-22,
750,926,2021-10-13,
751,927,2024-10-04,2024-11-19
752,928,2020-09-18,2022-02-01
753,928,2024-07-01,
754,929,2023-02-03,
755,931,2023-11-07,2024-02-01
756,932,2015-07-14,
757,935,2021-03-22,
758,936,2019-07-29,2022-06-03
759,936,2024-03-07,2024-04-17
760,936,2024-10-28,2024-11-27
761,937,2023-10-29,2024-06-09
762,938,2016-01-05,2019-12-03
763,939,2024-04-18,
764,940,2015-10-17,
765,941,2023-09-11,2024-03-26
766,942,2017-03-07,2021-08-02
767,944,2019-01-26,2023-09-09
768,946,2021-10-25,2024-05-01
769,947,2022-08-08,
770,948,2020-10-07,2024-02-10
771,949,2017-04-15,
772,950,2018-08-20,2020-04-01
773,950,2023-07-23,
774,951,2013-03-06,
775,952,2023-04-13,
776,954,2019-11-13,
777,955,2024-01-14,
778,957,2015-02-22,2018-01-14
779,957,2019-05-31,2022-08-06
780,957,2023-02-09,
781,958,2023-01-05,2023-05-25
782,958,2024-04-10,2024-12-03
783,958,2024-12-30,2024-12-30
784,959,2020-06-24,2021-01-21
785,961,2021-09-13,
786,962,2017-05-04,2022-07-24
787,963,2019-09-04,2019-12-24
788,966,2023-04-25,2023-12-19
789,966,2024-08-07,
790,967,2018-07-26,2019-11-09
791,967,2022-01-15,
792,968,2015-11-28,2018-07-25
793,968,2024-04-23,2024-08-05
794,970,2019-06-30,2022-08-18
795,970,2023-07-18,
796,974,2018-12-22,
797,975,2013-11-24,2024-10-29
798,976,2022-07-12,
799,978,2022-10-15,
800,979,2023-10-23,2024-08-07
801,980,2023-09-19,2024-11-25
802,981,2024-08-21,2024-11-13
803,985,2021-09-27,2024-01-30
804,985,2024-12-14,
805,986,2022-08-30,
806,987,2020-08-29,
807,988,2024-02-14,
808,989,2021-04-29,2022-06-17
809,990,2018-03-24,
810,992,2024-03-25,
811,993,2023-08-17,
812,994,2019-03-18,
813,996,2024-06-17,2024-10-26
814,997,2021-06-24,2022-03-30
815,999,2019-12-04,2024-07-11
816,999,2024-11-22,
817,1000,2024-08-19,
818,1001,2018-09-13,2023-09-17
819,1002,2022-07-27,2023-09-07
820,1004,2024-09-11,2024-12-17
821,1006,2023-03-01,
822,1008,2021-01-27,
823,1009,2024-11-06,
824,1010,2011-07-24,2019-07-16
825,1011,2015-10-11,2015-10-29
826,1011,2020-10-11,2022-03-27
827,1011,2024-05-01,
828,1012,2024-11-14,2024-12-05
829,1012,2024-12-12,2024-12-19
830,1012,2024-12-31,
831,1014,2019-01-27,2023-11-10
832,1015,2021-07-20,
833,1018,2016-07-10,
834,1019,2012-04-13,
835,1021,2015-10-01,
836,1023,2022-12-18,2023-08-08
837,1025,2023-05-19,2024-07-25
838,1027,2021-12-29,2022-01-07
839,1028,2024-08-01,
840,1029,2024-01-27,
841,1030,2024-02-07,2024-08-21
842,1031,2020-12-14,
843,1032,2021-01-19,2022-09-07
844,1033,2020-05-14,
845,1035,2020-05-24,2022-06-18
846,1036,2015-04-05,
847,1038,2023-01-29,
848,1039,2016-12-17,2020-05-16
849,1040,2022-01-27,
850,1046,2022-11-03,2024-05-01
851,1048,2012-03-18,
852,1050,2020-01-24,2021-11-08
853,1051,2024-04-03,2024-04-30
854,1052,2018-11-19,2019-04-04
855,1053,2022-09-10,2023-06-21
856,1056,2024-12-25,
857,1057,2015-08-01,
858,1058,2023-09-18,
859,1059,2020-06-30,2023-09-07
860,1060,2024-05-31,2024-09-28
861,1062,2023-03-20,
862,1063,2021-04-11,
863,1064,2019-07-31,2022-08-06
864,1064,2023-11-05,2024-11-22
865,1069,2014-12-07,2018-01-16
866,1073,2023-11-25,2024-05-20
867,1073,2024-08-15,2024-11-18
868,1074,2024-10-07,2024-10-22
869,1077,2024-04-11,
870,1079,2022-05-02,
871,1080,2023-07-31,
872,1082,2024-11-03,2024-12-17
873,1084,2021-05-19,2022-10-24
874,1086,2017-02-24,2024-04-19
875,1086,2024-10-20,
876,1087,2019-05-20,
877,1090,2018-08-23,2021-04-05
878,1091,2018-07-11,2019-01-19
879,1092,2022-06-01,
880,1093,2019-02-22,
881,1094,2020-08-07,2022-09-15
882,1095,2022-07-23,2024-12-20
883,1095,2024-12-22,
884,1096,2019-10-10,
885,1098,2021-09-05,2022-04-26
886,1100,2022-07-19,
887,1102,2023-10-18,
888,1103,2024-08-17,
889,1104,2018-04-03,
890,1106,2015-12-30,2019-09-10
891,1107,2023-07-14,
892,1108,2022-02-17,
893,1109,2023-06-03,2023-09-13
894,1110,2024-12-06,2024-12-24
895,1111,2019-06-10,
896,1112,2016-09-07,2021-10-06
897,1113,2024-08-25,
898,1118,2017-09-01,
899,1119,2022-03-31,2023-07-10
900,1119,2024-11-19,2024-12-04
901,1121,2018-10-15,2024-11-05
902,1123,2023-01-22,2024-01-05
903,1123,2024-04-13,2024-12-31
904,1124,2024-07-15,2024-12-13
905,1127,2022-05-27,2022-10-06
906,1128,2024-03-28,2024-05-03
907,1128,2024-08-21,2024-10-25
908,1130,2023-12-21,2024-07-27
909,1134,2016-10-24,
910,1135,2021-12-17,
911,1136,2021-04-25,
912,1137,2022-11-17,2024-07-24
913,1138,2022-11-17,
914,1139,2020-10-06,
915,1141,2023-11-29,2024-10-09
916,1141,2024-11-12,2024-12-04
917,1142,2024-02-07,
918,1143,2024-06-21,2024-08-03
919,1145,2016-06-22,2022-09-05
920,1145,2023-06-15,
921,1146,2023-07-12,2024-01-22
922,1147,2018-06-14,2024-08-12
923,1148,2024-04-25,2024-09-05
924,1149,2022-08-17,2024-03-03
925,1150,2021-05-29,
926,1151,2019-10-02,2023-04-29
927,1151,2023-06-29,
928,1152,2021-12-25,2023-04-02
929,1153,2019-08-16,
930,1154,2022-03-30,2022-09-07
931,1156,2018-05-08,2020-10-19
